antigen	block	intercept	slope	antigen_number	display_order	product_code	lot_number	slide_name	sample_plate	immunoglobulin	gain_normalised_intensity
RBD	37	47.04870444	14.6018086	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	777.1391345
RBD	38	431.6013803	291.0082469	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	14982.01373
RBD	39	303.8111247	129.9319147	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	6800.406859
RBD	40	109.2471469	43.38110793	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	2278.302544
RBD	41	69.99469874	12.83808337	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	711.8988671
RBD	42	187.3030792	45.46681239	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	2460.643699
RBD	43	265.8562991	87.0743746	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	4619.575029
RBD	44	29.2549762	3.491755021	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	203.8427273
RBD	45	30.0495216	3.554853828	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	207.792213
RBD	46	30.16324157	3.145112966	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	187.4188899
RBD	47	63.41351242	14.0864033	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	767.7336776
RBD	48	30.77146572	3.525522929	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	207.0476121
RBD	49	35.16988743	4.132634138	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	241.8015944
RBD	50	29.51165778	4.953094936	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	277.1664046
RBD	51	31.57913003	4.58319638	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	260.738949
RBD	52	32.77256922	2.811280798	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	173.3366091
RBD	53	161.5865803	36.3788547	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	1980.529315
RBD	54	162.3158978	33.93286345	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	1858.95907
RBD	55	74.08628112	37.27132108	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	1937.652335
RBD	56	32.75423677	2.812252371	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	173.3668553
RBD	57	34.52916521	2.427208327	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	155.8895815
RBD	58	34.06620698	2.323883451	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	150.2603795
RBD	59	33.49198887	2.491280327	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	158.0560052
RBD	60	32.74101873	2.812952892	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	173.3886633
RBD	61	32.74877658	2.812541747	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	173.3758639
RBD	62	32.74877658	2.812541747	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	173.3758639
RBD	63	32.78784894	2.810471013	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	173.3113996
RBD	64	32.77256922	2.811280798	3	3	SPD-C52H3	C497P1-207AF1-TJ	IgA_1	Sample_Plate_1	IgA	173.3366091
NTD	1	29.1198371	6.49924677	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	354.0821756
NTD	2	30.93632695	3.482121415	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	205.0423977
NTD	3	40.47724264	4.431101535	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	262.0323194
NTD	4	31.38841856	3.178593821	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	190.3181096
NTD	5	40.91564217	5.237917139	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	302.8114991
NTD	6	57.59630481	6.622608699	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	388.7267398
NTD	7	24.93806033	3.747092861	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	212.2927034
NTD	8	28.89901961	3.828348125	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	220.3164259
NTD	9	93.42512321	15.28629448	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	857.7398471
NTD	10	31.50787144	3.754591806	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	219.2374617
NTD	11	24.36426334	3.801941895	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	214.4613581
NTD	12	34.12362416	4.721862914	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	270.2167699
NTD	13	32.79614648	3.650971238	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	215.3447084
NTD	14	115.193809	24.50332386	4	4	S1D-C52H6	3743a-207EF1-SX	IgA_1	Sample_Plate_1	IgA	1340.360002
